sparm->C: 0.100000
Reading training examples...feature dimension: 69
total utterence:10 done
Iter 324: *(NumConst=143, SV=119, CEps=0.2885, QPEps=0.1224)
Iter 325: *(NumConst=143, SV=119, CEps=0.2935, QPEps=0.1191)
Iter 326: *(NumConst=144, SV=119, CEps=0.3192, QPEps=0.1323)
Iter 327: *(NumConst=145, SV=119, CEps=0.3155, QPEps=0.1368)
Iter 328: *(NumConst=146, SV=120, CEps=0.2684, QPEps=0.1303)
Iter 329: *(NumConst=146, SV=121, CEps=0.2930, QPEps=0.0953)
Iter 330: *(NumConst=147, SV=120, CEps=0.2573, QPEps=0.1199)
Iter 331: *(NumConst=147, SV=121, CEps=0.2614, QPEps=0.1254)
Iter 332: *(NumConst=147, SV=121, CEps=0.2251, QPEps=0.1123)
Iter 333: *(NumConst=147, SV=122, CEps=0.2805, QPEps=0.1087)
Iter 334: *(NumConst=147, SV=123, CEps=0.2804, QPEps=0.1034)
Iter 335: *(NumConst=148, SV=122, CEps=0.2657, QPEps=0.0972)
Iter 336: *(NumConst=147, SV=122, CEps=0.2214, QPEps=0.1057)
Iter 337: *(NumConst=147, SV=123, CEps=0.2603, QPEps=0.0956)
Iter 338: *(NumConst=147, SV=123, CEps=0.2325, QPEps=0.1073)
Iter 339: *(NumConst=148, SV=124, CEps=0.2321, QPEps=0.1090)
Iter 340: *(NumConst=148, SV=125, CEps=0.2315, QPEps=0.1049)
Iter 341: *(NumConst=149, SV=124, CEps=0.2029, QPEps=0.0922)
Iter 342: *(NumConst=149, SV=125, CEps=0.2429, QPEps=0.0997)
Iter 343: *(NumConst=150, SV=126, CEps=0.2141, QPEps=0.1013)
Iter 344: *(NumConst=150, SV=126, CEps=0.1964, QPEps=0.0963)
